N_used,Dropped,Exposure,OR,95%CI_low,95%CI_high,p_value
7393,115,ILLYR_bin,2.256926730315956,1.994582263159509,2.5537769788176052,3.896226657819803e-38
7393,115,PNRNMYR_bin,1.332829231997597,0.9952377920657749,1.7849339884692605,0.0538636824743846
7393,115,STMNMYR_bin,1.4118504332572146,1.0545386361423585,1.890231023853633,0.020522719316116537
7373,115,ANY_CANNA_EVER,2.5155928897917446,2.212601756103619,2.8600752800245095,4.482668357770315e-45
