Exposure,Group,Threshold,Level,N_group,TPR,TPR_lo,TPR_hi,FPR,FPR_lo,FPR_hi,PPV,PPV_lo,PPV_hi,TP,FP,TN,FN,flag_sparse
ILLYR_bin,IRPREG,0.2642,0.0,7200,0.6167364298527886,0.5694610451904447,0.6654237518597408,0.3519288659797069,0.32680795642756594,0.37715096871299647,0.38923703642871366,0.353850845918596,0.43496858843066194,1242.0415970298877,1948.9229844131733,3588.909153873412,771.8520809004976,0
ILLYR_bin,IRPREG,0.2642,1.0,193,0.5841532085418666,0.2584979392659032,0.8343691882453415,0.23730369211763566,0.13794826635846014,0.3877483611747775,0.4071342923569235,0.1405551338727407,0.6220210394944529,24.28205375213294,35.35933290572571,113.64522994025589,17.285900334337903,0
ILLYR_bin,NEWRACE2,0.2642,1.0,3528,0.7293738051012147,0.6824977392882405,0.7779701195238534,0.503473887857892,0.46501310389938966,0.5368596018246049,0.3915024367776299,0.34656252052226966,0.44018864556328313,853.35670968445,1326.3403484187909,1308.0372834816683,316.62869932818944,0
ILLYR_bin,NEWRACE2,0.2642,2.0,1026,0.39200872029140715,0.24575432327833174,0.5207051921205841,0.16928777949397897,0.12695429264552965,0.21895409966391685,0.3464985395468975,0.20836406472897778,0.4605633898877121,84.68157009141996,159.71071566584385,783.7166016705753,131.33803791237725,0
ILLYR_bin,NEWRACE2,0.2642,3.0,122,0.010482249274148878,0.0,0.03394666047598615,0.0055920441755895655,0.0,0.022935023460602968,0.2220053155174321,0.0,1.0,0.05928730043551052,0.2077662171675633,36.9461278944895,5.59668394055794,0
ILLYR_bin,NEWRACE2,0.2642,4.0,35,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,23.979112780280435,3.410682536712047,1
ILLYR_bin,NEWRACE2,0.2642,5.0,391,0.2711124767037423,0.06594445448680675,0.5294727394453856,0.12623995222643863,0.05872123383632421,0.20726396353461565,0.29592530308665915,0.06964604060986651,0.5334038525562053,22.60817054937966,53.79006344265939,372.3037562553652,60.78220242148403,0
ILLYR_bin,NEWRACE2,0.2642,6.0,443,0.7114370924571446,0.5798156390717718,0.8489224012539357,0.6013285143815629,0.495587320064242,0.7041079490695755,0.3781351751738213,0.2637951934162485,0.5037516662498442,72.69128014540294,119.54494890149333,79.25644840866002,29.48399426198496,0
ILLYR_bin,NEWRACE2,0.2642,7.0,1963,0.4973465497445093,0.40031064721955345,0.5988495359559087,0.24071570750490429,0.19793814059115258,0.28573035806582114,0.40219850692642306,0.32003210640359214,0.4769542265201857,242.17163695374634,359.94804470396923,1135.376246489765,244.75571195045688,0
ILLYR_bin,NEWRACE2_collapsed,0.2642,1.0,3528,0.7293738051012147,0.6824977392882405,0.7779701195238534,0.503473887857892,0.46501310389938966,0.5368596018246049,0.3915024367776299,0.34656252052226966,0.44018864556328313,853.35670968445,1326.3403484187909,1308.0372834816683,316.62869932818944,0
ILLYR_bin,NEWRACE2_collapsed,0.2642,2.0,1026,0.39200872029140715,0.24575432327833174,0.5207051921205841,0.16928777949397897,0.12695429264552965,0.21895409966391685,0.3464985395468975,0.20836406472897778,0.4605633898877121,84.68157009141996,159.71071566584385,783.7166016705753,131.33803791237725,0
ILLYR_bin,NEWRACE2_collapsed,0.2642,3.0,122,0.010482249274148878,0.0,0.03394666047598615,0.0055920441755895655,0.0,0.022935023460602968,0.2220053155174321,0.0,1.0,0.05928730043551052,0.2077662171675633,36.9461278944895,5.59668394055794,0
ILLYR_bin,NEWRACE2_collapsed,0.2642,4.0,35,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,23.979112780280435,3.410682536712047,1
ILLYR_bin,NEWRACE2_collapsed,0.2642,5.0,2797,0.5018209699046251,0.41683649347654783,0.5843559216572518,0.2515225687647698,0.2107882740834317,0.29098439386927405,0.3875618504992537,0.3197725500508648,0.4603534254305203,337.4710876485289,533.2830570481219,1586.9364511537904,335.0219086339259,0
ILLYR_bin,YEAR,0.2642,2021.0,2545,0.6851128744513292,0.6246168184339825,0.7413944341390829,0.4084439808998489,0.3681478642672111,0.4454950248432637,0.40322806150349877,0.35108382583678416,0.452707026354506,862.3230071750436,1276.2260907219074,1848.3788744687536,396.3352947370795,0
ILLYR_bin,YEAR,0.2642,2022.0,2535,0.5847474866012781,0.5146832277244838,0.656001378737816,0.3227091939257504,0.2902861663815506,0.3625664656898956,0.38494598621900583,0.33122385215145606,0.43979252770812277,313.56586186098446,501.00520287688414,1051.4922539887434,222.67562535518147,0
ILLYR_bin,YEAR,0.2642,2023.0,2428,0.3655761843580886,0.3049341186188085,0.42419418224763933,0.22393555252217578,0.1956289744193971,0.2561232349997247,0.29146956078719827,0.23911464161555537,0.3411147084053747,99.67978568880636,242.31059375113284,839.7444485233065,172.98509225950164,0
PNRNMYR_bin,IRPREG,0.2642,0.0,7200,0.6066505918617658,0.5610373640159818,0.6495371932796052,0.39905810364958305,0.37232862645477216,0.42672081324986033,0.35601853573172165,0.32025595082977143,0.3975951078323619,1221.7297916631367,2209.91679143436,3327.9153468522245,792.1638862672486,0
PNRNMYR_bin,IRPREG,0.2642,1.0,193,0.4545131108752369,0.13031694615982106,0.7434595319148897,0.26104104197221406,0.15461536333940434,0.4016838574114382,0.3269310955871259,0.07788083794305152,0.5727682308987332,18.893180124560875,38.89630634392928,110.10825650205231,22.674773961909963,0
